Time,Country Name,medal
2016,Australia,9.33
2016,Azerbaijan,4.5
2016,Belarus,2.5
2016,Brazil,6.5
2016,Bulgaria,0.67
2016,Canada,5.5
2016,China,23.33
2016,Croatia,3.83
2016,Cuba,3.83
2016,Czech Rep.,2.33
2016,Denmark,4.17
2016,Ethiopia,2
2016,France,13.33
2016,Germany,14.33
2016,Greece,2.17
2016,Hungary,5.67
2016,Iran,2.5
2016,Italy,9.33
2016,Jamaica,4.33
2016,Japan,12.17
2016,Kazakhstan,4.67
2016,Kenya,5.17
2016,Netherlands,7
2016,New Zealand,5.83
2016,Dem. REP. Korea,2.33
2016,Norway,0.67
2016,Poland,3
2016,Portugal,0.17
2016,Romania,1.33
2016,Russia,18.67
2016,South Africa,3.33
2016,Korea,7
2016,Spain,5.83
2016,Sweden,3.5
2016,Switzerland,2.5
2016,Turkey,2.17
2016,Ukraine,3.33
2016,United Arab Emirates,0.17
2016,United Kingdom,24
2016,United States,41.67
