Time,Country Name,medal
2000,Australia,19.17
2000,Azerbaijan,1.17
2000,Belarus,4.33
2000,Brazil,3
2000,Bulgaria,4.83
2000,Canada,3.83
2000,China,21.83
2000,Croatia,0.67
2000,Cuba,10.33
2000,Czech Rep.,2.5
2000,Denmark,2.17
2000,Ethiopia,2.83
2000,France,13
2000,Germany,16.5
2000,Greece,4.5
2000,Hungary,6.5
2000,Iran,1.67
2000,Italy,11.33
2000,Jamaica,2.33
2000,Japan,6
2000,Kazakhstan,2.83
2000,Kenya,2.33
2000,Netherlands,9.67
2000,New Zealand,1.33
2000,Dem. REP. Korea,0.83
2000,Norway,3.5
2000,Poland,0
2000,Portugal,5.17
2000,Romania,8.83
2000,Russia,30
2000,South Africa,1.17
2000,Korea,9
2000,Spain,3.33
2000,Sweden,4.17
2000,Switzerland,2.83
2000,Turkey,1.83
2000,Ukraine,0
2000,United Arab Emirates,6.5
2000,United Kingdom,10
2000,United States,33.5
