Time,Country Name,medal,Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],Internet users (per 100),Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],info,Population_total,Labor_female,Life_exp,Health_exp,GDP_per_cap,GDP_PPP,"GNI per capita, PPP (constant 2011 international $) [NY.GNP.PCAP.PP.KD]","GNI, PPP (constant 2011 international $) [NY.GNP.MKTP.PP.KD]",rail_lines,Land area (sq. km) [AG.LND.TOTL.K2],connectivity,cpi,sexratio,hdi,communism,soviet,homeadvantage
2000,South Korea,9,43.61,0.3,7.08,16.9,45524681,49.12,73.83,6.97,17655.53,8.04E+11,17575.91,8.00E+11,3100,96460,0.03,50.2,1,0.79,0,0,0
2000,Spain,3.33,39.01,0.93,7.59,15.76,39889852,37.79,78.12,12.5,25614.39,1.02E+12,25462.11,1.02E+12,12284,499440,0.02,43.1,0.96,0.81,0,0,0
2000,Sweden,4.17,68.16,18.25,28.16,38.09,8840998,58.78,78.96,11.33,31498.44,2.78E+11,30499.53,2.70E+11,10158,410340,0.02,90.8,0.98,0.86,0,0,0
2000,Switzerland,2.83,64.75,0.06,9.39,24.58,7071850,57,78.9,15.02,45932.44,3.25E+11,47241.72,3.34E+11,2989,39528,0.08,87.6,0.95,0.85,0,0,0
2000,Turkey,1.83,24.03,0.07,1.36,8.42,59423208,30.43,67.59,10.05,13010.26,7.73E+11,12807.23,7.61E+11,8607,769630,0.01,35.4,0.97,0.61,0,0,0
2000,Ukraine,0,18.18,3.53,0.06,7.18,51057189,53.63,66.89,11.42,4594.43,2.35E+11,4539.69,2.32E+11,22602,579350,0.04,0,0.87,0.66,0,0,0
2000,United Arab Emirates,6.5,29.87,16.78,7.84,18.06,2571020,31.6,73.38,7.13,102338.74,2.63E+11,27296.71,1.27E+12,20802.73,83600,0.06,0,2.01,0.77,0,0,0
2000,United Kingdom,10,52.74,0,12.46,21.64,58166950,52.71,77.09,13.43,29267.11,1.70E+12,29250.78,1.70E+12,16666,241930,0.07,84.4,0.97,0.84,0,0,0
2000,United States,33.5,61.37,0.01,16.24,25.77,269394000,58.17,76.03,16.17,40500.8,1.09E+13,40760.85,1.10E+13,170199.52,9158960,0.02,76.6,0.94,0.88,0,0,0
2004,Australia,16.5,52.18,1.98,44.46,32.99,19153000,54.72,79.23,16,35281.4,6.76E+11,34402.05,6.59E+11,9499,7682300,0,83,1,0.9,0,0,0
2004,Azerbaijan,1.17,9.87,30.22,5.18,14.99,8048600,57.46,66.76,5.35,4459,35888694708,4312.41,34708877787,2116,82605,0.03,15,0.96,0.64,0,0,0
2004,Belarus,4.17,27.57,0,0.49,9.27,9979610,53.04,68.91,10.09,7562.88,75474631722,7580.67,75652155089,5512,202840,0.03,41,0.89,0.68,0,0,0
2004,Brazil,3.5,17.72,46.76,13.29,25.8,175287587,55.08,70.04,4.08,11370.73,1.99E+12,10892.3,1.91E+12,20802.73,8358140,0.06,39,0.98,0.69,0,0,0
2004,Bulgaria,2.83,36.02,43.98,9.22,29.54,8170172,44.17,71.66,9,8958.05,73188814237,8758.8,71560912648,4320,110630,0.04,35,0.95,0.71,0,1,0
2004,Canada,4,67.89,2.87,28.43,33.02,30769700,58.66,79.24,15.07,37431.92,1.15E+12,36486.88,1.12E+12,20802.73,9093510,0.06,92,0.98,0.87,0,0,0
2004,China,24,11.31,13.62,6.66,10.49,1262645000,71.24,71.73,10.82,3700.74,4.67E+12,27296.71,1.27E+12,58656,9388220,0.01,31,1.06,0.59,1,0,0
2004,Croatia,1.5,38.46,3.12,23.08,21.57,4426000,45.19,72.81,13.02,15745.22,69688355876,15465.17,68448849516,2727,55910,0.05,37,0.93,0.75,0,0,0
2004,Cuba,8.67,4.39,6.64,0.06,3.66,11150736,36.86,76.64,10.8,27039.27,1.51E+12,27296.71,1.27E+12,20802.73,107400,0.06,0,1.01,0.69,1,0,0
2004,Czech Republic,2.17,37.77,0.54,42.4,27.06,10255063,51.76,74.97,13.69,21137.18,2.17E+11,20737.67,2.13E+11,9365,77270,0.12,43,0.95,0.82,0,0,0
2004,Denmark,2,71.84,47.38,63.01,60.77,5339616,60.02,76.59,13.59,42337.71,2.26E+11,41498.83,2.22E+11,2047,42430,0.05,98,0.98,0.86,0,0,0
2004,Ethiopia,2.33,0.35,2.21,0.03,0.85,66537331,72.72,51.93,9.36,618.24,41136187142,27296.71,1.27E+12,20802.73,1000000,0.06,32,0.99,0.28,0,0,0
2004,France,10.67,57.4,9.14,49.06,38.64,60912498,48.44,79.06,15.18,34896.39,2.13E+12,35556.4,2.17E+12,32515,547567,0.06,67,0.96,0.85,0,0,0
2004,Germany,15.33,60.13,39.17,57.72,52.4,82211508,49.41,77.93,17.87,36764.56,3.02E+12,36530.07,3.00E+12,36652,348950,0.11,76,0.96,0.86,0,1,0
2004,Greece,5.67,51.51,45.69,54,50.43,10805808,40.29,77.89,9.83,24839.08,2.68E+11,24924.35,2.69E+11,2299,128900,0.02,49,0.98,0.8,0,0,1
2004,Hungary,6.5,37.15,0.72,30.09,22.73,10210971,41.38,71.25,10.63,17855.04,1.82E+11,16995.53,1.74E+11,8004,89620,0.09,52,0.91,0.77,0,1,0
2004,Iran,2,14.39,3.69,1.46,6.46,66131854,13.88,70.14,10.61,11853.95,7.84E+11,11843.03,7.83E+11,6688,1628760,0,0,1.03,0.67,0,0,0
2004,Italy,10.5,47.65,0.15,74.13,40.98,56942108,35.47,79.78,12.54,36535.82,2.08E+12,36394.19,2.07E+12,16499,294110,0.06,46,0.94,0.83,0,0,0
2004,Jamaica,1.67,19.11,1.86,14.21,11.75,2656864,58.9,72.31,7.37,7931.74,21073549532,27296.71,1.27E+12,20802.73,10830,0.06,0,0.99,0.68,0,0,0
2004,Japan,13,49.28,3.76,53.12,35.57,126843000,49.28,81.08,15.38,33871.84,4.30E+12,34381.99,4.36E+12,20165,364500,0.06,64,0.96,0.86,0,0,0
2004,Kazakhstan,2.33,12.58,9.78,1.35,7.84,14883626,64.67,65.52,9.15,9951.56,1.48E+11,9532.82,1.42E+11,13545,2699700,0.01,30,0.92,0.69,0,0,0
2004,Kenya,2.17,0.93,0.02,0.41,0.45,31450483,62.95,50.79,10.55,2132.09,67055109891,2111.97,66422379323,2634,569140,0,21,0.99,0.45,0,0,0
2004,Netherlands,6.5,62.35,1.5,67.81,44.13,15925513,53.31,77.99,11.36,41721.69,6.64E+11,42543.55,6.78E+11,2802,33760,0.08,89,0.98,0.88,0,0,0
2004,New Zealand,2.17,47.46,2.62,39.97,30.12,3857700,56.76,78.64,15.71,28264.57,1.09E+11,26736.73,1.03E+11,20802.73,263310,0.06,94,0.96,0.87,0,0,0
2004,North Korea,1.5,2.19,0.05,0,0.74,22929075,75.48,64.98,12.84,27039.27,1.51E+12,27296.71,1.27E+12,20802.73,120410,0.06,0,0.95,0.79,1,0,0
2004,Norway,2.67,53.46,21.38,71.78,49.1,4490967,60.24,78.63,16.23,58066.58,2.61E+11,57332.93,2.57E+11,20802.73,365245,0.06,91,0.98,0.92,0,0,0
2004,Poland,3,28.54,5.08,17.59,17.08,38258629,49.14,73.75,9.18,14732.48,5.64E+11,27296.71,1.27E+12,22560,306290,0.07,41,0.94,0.78,0,1,0
2004,Portugal,0.83,41.93,0.49,64.67,35.99,10289898,52.81,76.31,14.52,25999.49,2.68E+11,25510.88,2.63E+11,2814,91500,0.03,64,0.93,0.78,0,0,0
2004,Romania,6.67,17.42,5.37,11.16,11.31,22442971,57.87,71.16,9.15,10523.39,2.36E+11,10472.84,2.35E+11,11364,229710,0.05,29,0.96,0.71,0,1,0
2004,Russia,28.83,21.85,3.36,2.22,9.08,146596557,54.1,65.48,12.67,14050.85,2.06E+12,13678.03,2.01E+12,86075,16381340,0.01,21,0.88,0.72,0,1,0
2004,South Africa,1.83,11.06,0.08,18.59,10,44896856,49.51,55.84,13.63,9715.62,4.36E+11,9513.85,4.27E+11,22657,1213090,0.02,50,0.97,0.63,0,0,0
2004,South Korea,10,56.25,4.06,58.33,39.73,47008111,48.85,75.84,8.37,20756.78,9.76E+11,20602.04,9.68E+11,3123,96460,0.03,40,1.01,0.82,0,0,0
2004,Spain,6,42.46,4.86,60.24,36.1,40567864,40.87,78.97,13.18,29967.17,1.22E+12,29852.82,1.21E+12,13866,499000,0.03,70,0.96,0.83,0,0,0
2004,Sweden,2.67,68.26,52,71.82,64.1,8872109,58.09,79.64,12.6,36854.87,3.27E+11,36863.74,3.27E+11,10068,410340,0.02,94,0.98,0.88,0,0,0
2004,Switzerland,1.33,73.07,0.64,64.73,46.33,7184250,57.72,79.68,15.43,50314.07,3.61E+11,53643.48,3.85E+11,2975,39524,0.08,86,0.96,0.89,0,0,0
2004,Turkey,3.17,29.12,3.7,25.54,19.51,63240121,26.33,70,9.76,13862.05,8.77E+11,13656.49,8.64E+11,8671,769630,0.01,38,0.97,0.65,0,0,0
2004,Ukraine,7.67,21.23,28.58,1.67,17.01,49175848,52.15,67.86,10.24,4797.38,2.36E+11,4658.64,2.29E+11,22302,579350,0.04,15,0.87,0.67,0,0,0
2004,United Arab Emirates,0.5,33.71,37.25,47.19,39.46,3154925,33.79,74.45,7.8,103224.43,3.26E+11,27296.71,1.27E+12,20802.73,83600,0.06,0,2.1,0.8,0,0,0
2004,United Kingdom,9.5,59.76,1.28,73.71,45.2,58892514,54.02,77.74,15.17,32961.53,1.94E+12,33184.08,1.95E+12,15991,241930,0.07,87,0.97,0.87,0,0,0
2004,United States,35.33,67.64,0.69,38.47,35.63,282162411,59.06,76.64,16.79,45986.05,1.30E+13,46266.94,1.31E+13,159822,9161920,0.02,78,0.94,0.88,0,0,0
2008,Australia,14.83,51.29,12.86,81.51,48.88,20127400,55.75,80.49,16.95,38148.92,7.68E+11,37190.64,7.49E+11,20802.73,7682300,0.06,88,1,0.91,0,0,0
2008,Azerbaijan,1.5,11.97,64.73,17.21,31.16,8306500,59.94,68.47,5.92,6435.45,53456049887,6010.29,49924498608,2122,82672,0.03,19,0.97,0.68,0,0,0
2008,Belarus,3.83,32.67,0,23.04,18.62,9730146,53.61,68.96,10.78,10180,99052913943,10253.58,99768870015,5498,202810,0.03,33,0.88,0.71,0,0,0
2008,Brazil,4.5,21.51,33.85,35.65,19.22,184738458,57.79,71.53,5.15,12058.32,2.23E+12,11611.4,2.15E+12,20802.73,8358140,0.06,39,0.97,0.69,0,0,0
2008,Bulgaria,1.33,35.21,68.52,61.07,54.99,7716860,45.61,72.56,11.36,11736.48,90568801758,11875.17,91639022677,4259,108760,0.04,41,0.95,0.75,0,1,0
2008,Canada,5.83,64.43,19.07,47.06,43.56,31995000,61.23,80.14,17.24,39604.35,1.27E+12,38771.22,1.24E+12,20802.73,9093510,0.06,85,0.98,0.89,0,0,0
2008,China,35.83,23.79,44.01,25.55,31.06,1296075000,67.72,73.42,10,5164.64,6.69E+12,27296.71,1.27E+12,61015,9388212.5,0.01,34,1.06,0.63,1,0,1
2008,Croatia,1.17,42.9,10,64.45,39.37,4439000,45.93,75.52,11.92,18776.62,83349418764,18483.99,82050438494,2726,55960,0.05,35,0.93,0.78,0,0,0
2008,Cuba,6.83,6.81,30.91,0.67,12.68,11266941,36.86,77.64,10.32,27039.27,1.51E+12,27296.71,1.27E+12,20802.73,106410,0.06,37,1.01,0.72,1,0,0
2008,Czech Republic,2.67,33.58,8.41,105.63,49.77,10197101,50.73,75.72,14.22,24210.11,2.47E+11,23049.29,2.35E+11,9489,77260,0.12,42,0.95,0.84,0,0,0
2008,Denmark,2.17,64.67,61.85,95.71,74.29,5404523,60.65,77.49,14.94,43670.45,2.36E+11,43865.16,2.37E+11,2212,42430,0.05,95,0.98,0.9,0,0,0
2008,Ethiopia,2.67,0.65,9.12,0.21,3.3,74624405,77.37,55.19,10.11,673.43,50254014900,27296.71,1.27E+12,20802.73,1000000,0.06,23,1,0.33,0,0,0
2008,France,12,55.25,21.42,73.02,50.13,62704897,49.58,80.16,15.62,36216.17,2.27E+12,36750.53,2.30E+12,29246,547567,0.05,71,0.95,0.86,0,0,0
2008,Germany,13.83,65.03,80.93,85.06,77.09,82516260,50.19,78.68,17.1,37418.09,3.09E+12,37693.39,3.11E+12,34715,348770,0.1,82,0.96,0.88,0,1,0
2008,Greece,0.83,57.56,83.89,84.5,75.41,10955141,41.96,79.04,10.31,29469.53,3.23E+11,29325.29,3.21E+11,2449,128900,0.02,43,0.97,0.84,0,0,0
2008,Hungary,3.5,35.22,3.49,86.26,42.1,10107146,42.27,72.65,11.66,21327.62,2.16E+11,20182.17,2.04E+11,7730,89620,0.09,48,0.9,0.8,0,1,0
2008,Iran,0.67,23.57,10.68,7.32,13.79,69617100,18.13,71.59,11.07,14125.02,9.83E+11,14101.12,9.82E+11,6405,1628760,0,29,1.04,0.69,0,0,0
2008,Italy,8.67,44.55,33.85,107.69,51.32,57685327,38.12,80.78,13.7,37434.1,2.16E+12,37369.74,2.16E+12,15916,294140,0.05,48,0.95,0.85,0,0,0
2008,Jamaica,3.83,15.87,33.85,68.93,28.67,2728777,56.87,73.16,5.17,8385.12,22881114502,27296.71,1.27E+12,20802.73,10830,0.06,33,0.98,0.71,0,0,0
